"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Nombre"
2019,1,10,"Sant Martí",71,"Provençals del Poblenou","Habitatge nou lliure","218.0"
2019,1,10,"Sant Martí",72,"Sant Martí de Provençals","Habitatge nou lliure","61.4"
2019,1,10,"Sant Martí",73,"la Verneda i la Pau","Habitatge nou lliure","60.8"
2019,1,1,"Ciutat Vella",1,"el Raval","Habitatge nou protegit","N/A"
2019,1,1,"Ciutat Vella",2,"el Barri Gòtic","Habitatge nou protegit","N/A"
2019,1,1,"Ciutat Vella",3,"la Barceloneta","Habitatge nou protegit","N/A"
2019,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Habitatge nou protegit","N/A"
2019,1,2,"Eixample",5,"el Fort Pienc","Habitatge nou protegit","90.0"
2019,1,2,"Eixample",6,"la Sagrada Família","Habitatge nou protegit","N/A"
2019,1,2,"Eixample",7,"la Dreta de l'Eixample","Habitatge nou protegit","76.3"
2019,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Habitatge nou protegit","N/A"
2019,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Habitatge nou protegit","78.0"
2019,1,2,"Eixample",10,"Sant Antoni","Habitatge nou protegit","N/A"
2019,1,3,"Sants-Montjuïc",11,"el Poble Sec","Habitatge nou protegit","N/A"
2019,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Habitatge nou protegit","N/A"
2019,1,3,"Sants-Montjuïc",13,"la Marina de Port","Habitatge nou protegit","N/A"
2019,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Habitatge nou protegit","N/A"
2019,1,3,"Sants-Montjuïc",15,"Hostafrancs","Habitatge nou protegit","N/A"
2019,1,3,"Sants-Montjuïc",16,"la Bordeta","Habitatge nou protegit","N/A"
2019,1,3,"Sants-Montjuïc",17,"Sants - Badal","Habitatge nou protegit","N/A"
2019,1,3,"Sants-Montjuïc",18,"Sants","Habitatge nou protegit","N/A"
2019,1,4,"Les Corts",19,"les Corts","Habitatge nou protegit","N/A"
2019,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Habitatge nou protegit","N/A"
2019,1,4,"Les Corts",21,"Pedralbes","Habitatge nou protegit","N/A"
